skillName,simLinked,simSymba
microsoft word,"Tuple{String,Float32}[(""microsoft word"", 1.0), (""microsoftword"", 0.928571), (""microsoft works"", 0.866667), (""microsoft network"", 0.764706), (""microsoft azure"", 0.733333), (""microsoft money"", 0.733333), (""microsoft tools"", 0.733333), (""microsoft .net"", 0.714286), (""microsoft c"", 0.714286), (""microsoft dns"", 0.714286), (""microsoft mail"", 0.714286), (""microsoft mvp"", 0.714286), (""microsoft xna"", 0.714286)]","Tuple{String,Float32}[(""microsoft windows"", 0.705882)]"
leadership,"Tuple{String,Float32}[(""leadership"", 1.0), (""it leadership"", 0.769231)]","Tuple{String,Float32}[]"
marketing strategy,"Tuple{String,Float32}[(""marketing strategy"", 1.0), (""b2b marketing strategy"", 0.818182), (""web marketing strategy"", 0.818182), (""event marketing strategy"", 0.75), (""marketing systems"", 0.722222), (""messaging strategy"", 0.722222), (""pricing strategy"", 0.722222)]","Tuple{String,Float32}[]"
public speaking,"Tuple{String,Float32}[(""public speaking"", 1.0)]","Tuple{String,Float32}[(""public speaking"", 1.0)]"
c,"Tuple{String,Float32}[(""c"", 1.0)]","Tuple{String,Float32}[]"
sql,"Tuple{String,Float32}[(""sql"", 1.0), (""isql"", 0.75), (""msql"", 0.75), (""osql"", 0.75), (""soql"", 0.75), (""sqlj"", 0.75), (""xsql"", 0.75)]","Tuple{String,Float32}[(""sql"", 1.0)]"
c#,"Tuple{String,Float32}[(""c#"", 1.0)]","Tuple{String,Float32}[(""c#"", 1.0)]"
.net framework,"Tuple{String,Float32}[(""web framework"", 0.785714), (""entity framework"", 0.75), (""baker framework"", 0.733333), (""ionic framework"", 0.733333), (""robot framework"", 0.733333), (""coso framework"", 0.714286), (""oa framework"", 0.714286), (""play framework"", 0.714286), (""web frameworks"", 0.714286), (""zend framework"", 0.714286), (""genesys framework"", 0.705882)]","Tuple{String,Float32}[]"
entity framework,"Tuple{String,Float32}[(""entity framework"", 1.0), (""control framework"", 0.705882), (""genesys framework"", 0.705882)]","Tuple{String,Float32}[]"
web design,"Tuple{String,Float32}[(""web design"", 1.0), (""webdesign"", 0.9), (""job design"", 0.8), (""lab design"", 0.8), (""mep design"", 0.8), (""pcb design"", 0.8), (""set design"", 0.8), (""sewer design"", 0.75), (""menu design"", 0.727273), (""test design"", 0.727273)]","Tuple{String,Float32}[]"
