skillName,simLinked,simSymba
storage,"Tuple{String,Float32}[(""storage"", 1.0), (""stockage"", 0.75), (""stage"", 0.714286), (""store"", 0.714286), (""strace"", 0.714286)]","Tuple{String,Float32}[]"
data center,"Tuple{String,Float32}[(""data center"", 1.0), (""data centers"", 0.916667), (""call center"", 0.727273), (""data entry"", 0.727273), (""datacentres"", 0.727273)]","Tuple{String,Float32}[]"
virtualization,"Tuple{String,Float32}[(""virtualization"", 1.0), (""virtualisation"", 0.928571), (""visualization"", 0.857143), (""os virtualization"", 0.823529), (""visualisation"", 0.785714), (""visualizations"", 0.785714), (""i/o virtualization"", 0.777778), (""x86 virtualization"", 0.777778), (""centralization"", 0.714286), (""equalization"", 0.714286), (""fertilization"", 0.714286), (""finalization"", 0.714286), (""naturalization"", 0.714286), (""normalization"", 0.714286), (""realization"", 0.714286), (""serialization"", 0.714286), (""victimization"", 0.714286)]","Tuple{String,Float32}[]"
object oriented design,"Tuple{String,Float32}[(""object oriented design"", 1.0), (""object oriented modeling"", 0.791667), (""object oriented perl"", 0.772727), (""object oriented systems"", 0.73913)]","Tuple{String,Float32}[]"
production management,"Tuple{String,Float32}[(""production management"", 1.0), (""product management"", 0.857143), (""web production management"", 0.84), (""auction management"", 0.809524), (""position management"", 0.809524), (""production managers"", 0.809524), (""post production management"", 0.807692), (""production line management"", 0.807692), (""unit production management"", 0.807692), (""media production management"", 0.777778), (""print production management"", 0.777778), (""production enhancement"", 0.772727), (""production improvement"", 0.772727), (""transaction management"", 0.772727), (""coalition management"", 0.761905), (""irrigation management"", 0.761905), (""location management"", 0.761905), (""perception management"", 0.761905), (""practice management"", 0.761905), (""project management"", 0.761905), (""relation management"", 0.761905), (""reputation management"", 0.761905), (""resolution management"", 0.761905), (""retention management"", 0.761905), (""situation management"", 0.761905), (""transition management"", 0.761905), (""cost reduction management"", 0.76), (""construction management"", 0.73913), (""publications management"", 0.73913), (""association management"", 0.727273), (""circulation management"", 0.727273), (""collections management"", 0.727273), (""educational management"", 0.727273), (""exploration management"", 0.727273), (""information management"", 0.727273), (""interaction management"", 0.727273), (""requisition management"", 0.727273), (""translation management"", 0.727273), (""congestion management"", 0.714286), (""decision management"", 0.714286), (""deviation management"", 0.714286), (""exception management"", 0.714286), (""exhibition management"", 0.714286), (""foundation management"", 0.714286), (""innovation management"", 0.714286), (""litigation management"", 0.714286), (""migration management"", 0.714286), (""photo management"", 0.714286), (""process management"", 0.714286), (""product enhancement"", 0.714286), (""production deployment"", 0.714286), (""production equipment"", 0.714286), (""profit management"", 0.714286), (""property management"", 0.714286), (""radio management"", 0.714286), (""vegetation management"", 0.714286), (""higher education management"", 0.703704)]","Tuple{String,Float32}[(""product management"", 0.857143), (""project management"", 0.761905), (""process management"", 0.714286)]"
financial analysis,"Tuple{String,Float32}[(""financial analysis"", 1.0), (""financial analytics"", 0.894737), (""financial analyst"", 0.888889), (""fiscal analysis"", 0.777778), (""financial databases"", 0.736842), (""financial inclusion"", 0.736842), (""faunal analysis"", 0.722222), (""financial goals"", 0.722222), (""spatial analysis"", 0.722222)]","Tuple{String,Float32}[(""financial analysis"", 1.0)]"
product marketing,"Tuple{String,Float32}[(""product marketing"", 1.0), (""property marketing"", 0.777778), (""print marketing"", 0.764706), (""product mapping"", 0.764706), (""product ordering"", 0.764706), (""account marketing"", 0.705882), (""art marketing"", 0.705882), (""cloud marketing"", 0.705882), (""direct marketing"", 0.705882), (""food marketing"", 0.705882), (""joint marketing"", 0.705882), (""product costing"", 0.705882), (""product launching"", 0.705882), (""product modelling"", 0.705882), (""product naming"", 0.705882), (""product sampling"", 0.705882), (""product testing"", 0.705882), (""product training"", 0.705882), (""pull marketing"", 0.705882), (""student marketing"", 0.705882), (""tour marketing"", 0.705882), (""trade marketing"", 0.705882), (""youth marketing"", 0.705882)]","Tuple{String,Float32}[]"
ibm soa,"Tuple{String,Float32}[(""ibm soa"", 1.0), (""ibm san"", 0.714286)]","Tuple{String,Float32}[]"
javase,"Tuple{String,Float32}[(""javase"", 1.0)]","Tuple{String,Float32}[(""java ee"", 0.714286)]"
fixed income,"Tuple{String,Float32}[(""fixed income"", 1.0)]","Tuple{String,Float32}[]"
product design,"Tuple{String,Float32}[(""product design"", 1.0), (""produktdesign"", 0.857143), (""project design"", 0.857143), (""production design"", 0.823529), (""product vision"", 0.785714), (""robust design"", 0.785714), (""procedure design"", 0.75), (""product ideation"", 0.75), (""product testing"", 0.733333), (""protocol design"", 0.733333), (""module design"", 0.714286), (""policy design"", 0.714286), (""print design"", 0.714286), (""process design"", 0.714286), (""program design"", 0.714286), (""protein design"", 0.714286), (""procedures design"", 0.705882), (""product direction"", 0.705882), (""projection design"", 0.705882)]","Tuple{String,Float32}[]"
qa director,"Tuple{String,Float32}[(""qadirector"", 0.909091), (""ibm director"", 0.75), (""it directors"", 0.75), (""director"", 0.727273), (""meta directory"", 0.714286), (""trial director"", 0.714286)]","Tuple{String,Float32}[]"
aspen plus,"Tuple{String,Float32}[(""aspen plus"", 1.0), (""aspenplus"", 0.9)]","Tuple{String,Float32}[]"
xps,"Tuple{String,Float32}[(""xps"", 1.0)]","Tuple{String,Float32}[]"
edx,"Tuple{String,Float32}[(""edx"", 1.0)]","Tuple{String,Float32}[]"
workflow analysis,"Tuple{String,Float32}[(""workflow analysis"", 1.0), (""flow analysis"", 0.764706), (""cash flow analysis"", 0.722222), (""color analysis"", 0.705882)]","Tuple{String,Float32}[]"
employee relations,"Tuple{String,Float32}[(""employee relations"", 1.0), (""employee relationships"", 0.818182), (""employee orientations"", 0.809524), (""employee selection"", 0.777778), (""employee orientation"", 0.75), (""employee/labor relations"", 0.75), (""developer relations"", 0.736842), (""employee evaluation"", 0.736842), (""employee education"", 0.722222), (""employee leasing"", 0.722222), (""payer relations"", 0.722222), (""employee relations skills"", 0.72)]","Tuple{String,Float32}[]"
java,"Tuple{String,Float32}[(""java"", 1.0), (""java5"", 0.8), (""jave"", 0.75), (""jva"", 0.75), (""lava"", 0.75)]","Tuple{String,Float32}[(""java"", 1.0), (""java"", 1.0)]"
j2ee,"Tuple{String,Float32}[(""j2me"", 0.75)]","Tuple{String,Float32}[]"
crm,"Tuple{String,Float32}[(""cirm"", 0.75), (""crcm"", 0.75), (""ctrm"", 0.75), (""ecrm"", 0.75), (""scrm"", 0.75)]","Tuple{String,Float32}[]"
mis,"Tuple{String,Float32}[(""cmis"", 0.75), (""emis"", 0.75), (""hmis"", 0.75), (""imis"", 0.75), (""mbis"", 0.75), (""miis"", 0.75), (""mims"", 0.75), (""miso"", 0.75), (""mmis"", 0.75), (""mris"", 0.75), (""pmis"", 0.75), (""rmis"", 0.75)]","Tuple{String,Float32}[]"
angular 5,"Tuple{String,Float32}[(""angular"", 0.777778), (""angularjs"", 0.777778)]","Tuple{String,Float32}[(""angularjs"", 0.777778)]"
angular 4,"Tuple{String,Float32}[(""angular"", 0.777778), (""angularjs"", 0.777778)]","Tuple{String,Float32}[(""angularjs"", 0.777778)]"
typescript,"Tuple{String,Float32}[(""typescript"", 1.0), (""applescript"", 0.727273)]","Tuple{String,Float32}[(""typescript"", 1.0)]"
ecmascript,"Tuple{String,Float32}[(""ecmascript"", 1.0)]","Tuple{String,Float32}[]"
data structures,"Tuple{String,Float32}[(""data structures"", 1.0), (""deal structures"", 0.8), (""pay structures"", 0.8), (""salary structures"", 0.764706), (""legal structures"", 0.75), (""shade structures"", 0.75), (""tekla structures"", 0.75), (""aerostructures"", 0.733333), (""nanostructures"", 0.733333), (""capital structure"", 0.705882), (""marine structures"", 0.705882)]","Tuple{String,Float32}[(""data structures"", 1.0)]"
algorithm design,"Tuple{String,Float32}[(""algorithm design"", 1.0)]","Tuple{String,Float32}[]"
statistics,"Tuple{String,Float32}[(""statistics"", 1.0), (""statistica"", 0.9), (""biostatistics"", 0.769231), (""geostatistics"", 0.769231), (""statisticians"", 0.769231)]","Tuple{String,Float32}[]"
bayesian statistics,"Tuple{String,Float32}[(""bayesian statistics"", 1.0)]","Tuple{String,Float32}[]"
big data,"Tuple{String,Float32}[(""big data"", 1.0)]","Tuple{String,Float32}[]"
networking,"Tuple{String,Float32}[(""networking"", 1.0), (""artworking"", 0.8), (""netowrking"", 0.8), (""netwroking"", 0.8), (""hp networking"", 0.769231), (""ip networking"", 0.769231), (""pc networking"", 0.769231), (""metalworking"", 0.75), (""network coding"", 0.714286)]","Tuple{String,Float32}[]"
property management,"Tuple{String,Float32}[(""property management"", 1.0), (""project management"", 0.842105), (""amsi property management"", 0.791667), (""paper management"", 0.789474), (""port management"", 0.789474), (""power management"", 0.789474), (""priority management"", 0.789474), (""process management"", 0.789474), (""product management"", 0.789474), (""profit management"", 0.789474), (""program management"", 0.789474), (""projektmanagement"", 0.789474), (""property managers"", 0.789474), (""proposal management"", 0.789474), (""multi-property management"", 0.76), (""yardi property management"", 0.76), (""airport management"", 0.736842), (""anxiety management"", 0.736842), (""energy management"", 0.736842), (""forest management"", 0.736842), (""gallery management"", 0.736842), (""growth management"", 0.736842), (""money management"", 0.736842), (""nursery management"", 0.736842), (""order management"", 0.736842), (""partner management"", 0.736842), (""partners management"", 0.736842), (""people management"", 0.736842), (""people's management"", 0.736842), (""photo management"", 0.736842), (""policy management"", 0.736842), (""press management"", 0.736842), (""print management"", 0.736842), (""problem management"", 0.736842), (""proj management"", 0.736842), (""scope management"", 0.736842), (""sports management"", 0.736842), (""support management"", 0.736842), (""complexity management"", 0.714286), (""hr project management"", 0.714286), (""production management"", 0.714286), (""property management systems"", 0.703704)]","Tuple{String,Float32}[(""project management"", 0.842105), (""process management"", 0.789474), (""product management"", 0.789474), (""provider management"", 0.736842), (""order management"", 0.736842), (""money management"", 0.736842)]"
self motivated,"Tuple{String,Float32}[(""self-motivated"", 0.928571)]","Tuple{String,Float32}[]"
database testing,"Tuple{String,Float32}[(""database testing"", 1.0), (""database auditing"", 0.764706), (""database design"", 0.75), (""database engine"", 0.75), (""database mining"", 0.75), (""database consulting"", 0.736842), (""database marketing"", 0.722222), (""database scripting"", 0.722222), (""database searching"", 0.722222), (""database modeling"", 0.705882)]","Tuple{String,Float32}[]"
success driven,"Tuple{String,Float32}[(""success driven"", 1.0), (""process driven"", 0.785714), (""business driven"", 0.733333), (""process-driven"", 0.714286), (""sales driven"", 0.714286)]","Tuple{String,Float32}[]"
hardworker,"Tuple{String,Float32}[(""hardworker"", 1.0), (""hard worker"", 0.909091), (""hard-worker"", 0.909091), (""hardwork"", 0.8)]","Tuple{String,Float32}[]"
self-confidence,"Tuple{String,Float32}[(""self-confidence"", 1.0)]","Tuple{String,Float32}[]"
petroleum,"Tuple{String,Float32}[(""petroleum"", 1.0)]","Tuple{String,Float32}[]"
oil & gas,"Tuple{String,Float32}[(""oil & gas"", 1.0), (""oil& gas"", 0.888889)]","Tuple{String,Float32}[]"
automation,"Tuple{String,Float32}[(""automation"", 1.0), (""automatic"", 0.8), (""automative"", 0.8), (""automator"", 0.8), (""it automation"", 0.769231), (""qa automation"", 0.769231), (""ui automation"", 0.769231), (""ole automation"", 0.714286)]","Tuple{String,Float32}[(""automation"", 1.0)]"
semiconductors,"Tuple{String,Float32}[(""semiconductors"", 1.0), (""semiconductor"", 0.928571), (""semiconductor ip"", 0.8125), (""superconductors"", 0.733333)]","Tuple{String,Float32}[(""semiconductors"", 1.0)]"
six sigma,"Tuple{String,Float32}[(""six sigma"", 1.0)]","Tuple{String,Float32}[]"
engineering management,"Tuple{String,Float32}[(""engineering management"", 1.0), (""engineering data management"", 0.814815), (""engineering change management"", 0.758621), (""engagement management"", 0.727273), (""interim management"", 0.727273), (""meeting management"", 0.727273), (""training management"", 0.727273)]","Tuple{String,Float32}[]"
deferred compensation,"Tuple{String,Float32}[(""deferred compensation"", 1.0)]","Tuple{String,Float32}[]"
succession planning,"Tuple{String,Float32}[(""succession planning"", 1.0), (""lesson planning"", 0.736842), (""recreation planning"", 0.736842)]","Tuple{String,Float32}[]"
building relationships,"Tuple{String,Float32}[(""building relationships"", 1.0), (""build relationships"", 0.863636), (""builds relationships"", 0.863636), (""building key relationships"", 0.846154), (""banking relationships"", 0.818182), (""build strong relationships"", 0.807692), (""building solid relationships"", 0.785714), (""lasting relationships"", 0.772727), (""managing relationships"", 0.772727), (""trusting relationships"", 0.772727), (""cultivating relationships"", 0.76), (""building strong relationships"", 0.758621), (""building c-level relationships"", 0.733333), (""establishing relationships"", 0.730769), (""union relationships"", 0.727273), (""maintaining relationships"", 0.72), (""building business relationships"", 0.709677), (""building positive relationships"", 0.709677), (""leveraging relationships"", 0.708333)]","Tuple{String,Float32}[]"
technical recruiting,"Tuple{String,Float32}[(""technical recruiting"", 1.0), (""technical accounting"", 0.8), (""technical editing"", 0.8), (""technical writing"", 0.8), (""social recruiting"", 0.75), (""technical computing"", 0.75), (""technical learning"", 0.75), (""technical marketing"", 0.75), (""technical training"", 0.75)]","Tuple{String,Float32}[]"
employee benefits,"Tuple{String,Float32}[(""employee benefits"", 1.0), (""employee benefits design"", 0.708333)]","Tuple{String,Float32}[(""employee briefing"", 0.764706)]"
applicant tracking systems,"Tuple{String,Float32}[(""applicant tracking systems"", 1.0)]","Tuple{String,Float32}[(""applicant tracking systems - general"", 0.722222)]"
internet recruiting,"Tuple{String,Float32}[(""internet recruiting"", 1.0), (""internet routing"", 0.789474), (""internet training"", 0.736842), (""talent recruiting"", 0.736842)]","Tuple{String,Float32}[]"
inventory management,"Tuple{String,Float32}[(""inventory management"", 1.0), (""inventory managment"", 0.95), (""sap inventory management"", 0.833333), (""vendor management"", 0.8), (""venture management"", 0.8), (""investment management"", 0.761905), (""category management"", 0.75), (""event management"", 0.75), (""identity managment"", 0.75), (""injury management"", 0.75), (""integrity management"", 0.75), (""memory management"", 0.75), (""senior management"", 0.75), (""territory management"", 0.75), (""online inventory management"", 0.740741), (""repository management"", 0.714286), (""international management"", 0.708333)]","Tuple{String,Float32}[(""event management"", 0.75)]"
warehousing,"Tuple{String,Float32}[(""fair housing"", 0.75)]","Tuple{String,Float32}[]"
transportation,"Tuple{String,Float32}[(""transportation"", 1.0), (""transformation"", 0.857143), (""transformations"", 0.8), (""transcreation"", 0.785714), (""transposition"", 0.785714), (""transportation law"", 0.777778), (""transformational"", 0.75), (""transcription"", 0.714286), (""translation"", 0.714286), (""biotransformation"", 0.705882), (""hr transformation"", 0.705882), (""ip transformation"", 0.705882), (""it transformation"", 0.705882), (""transfer stations"", 0.705882)]","Tuple{String,Float32}[(""transportation"", 1.0)]"
angular,"Tuple{String,Float32}[(""angular"", 1.0), (""angularjs"", 0.777778), (""cingular"", 0.75), (""angola"", 0.714286), (""regular"", 0.714286)]","Tuple{String,Float32}[(""angularjs"", 0.777778)]"
negotiation,"Tuple{String,Float32}[(""negotiation"", 1.0), (""negotiaton"", 0.909091), (""renegotiations"", 0.785714), (""tu negotiation"", 0.785714), (""legitimation"", 0.75), (""fee negotiation"", 0.733333), (""notation"", 0.727273), (""vegetation"", 0.727273)]","Tuple{String,Float32}[(""negotiation"", 1.0), (""negotiation"", 1.0), (""negotiation"", 1.0)]"
asset managment,"Tuple{String,Float32}[(""asset management"", 0.9375), (""issues managment"", 0.8125), (""it asset management"", 0.789474), (""issues management"", 0.764706), (""vessel management"", 0.764706), (""anger management"", 0.75), (""audit management"", 0.75), (""budget managment"", 0.75), (""fleet management"", 0.75), (""issue management"", 0.75), (""waste management"", 0.75), (""case management"", 0.733333), (""cost management"", 0.733333), (""list management"", 0.733333), (""sme management"", 0.733333), (""test management"", 0.733333), (""user management"", 0.733333), (""anxiety management"", 0.722222), (""artist management"", 0.705882), (""budget management"", 0.705882), (""career management"", 0.705882), (""casino management"", 0.705882), (""direct management"", 0.705882), (""estate management"", 0.705882), (""forest management"", 0.705882), (""onsite management"", 0.705882), (""talent management"", 0.705882), (""threat management"", 0.705882)]","Tuple{String,Float32}[(""asset management"", 0.9375), (""waste management"", 0.75), (""budget management"", 0.705882)]"
business development,"Tuple{String,Float32}[(""business development"", 1.0), (""new business development"", 0.833333), (""asia business development"", 0.8), (""business case development"", 0.8), (""business model development"", 0.769231), (""china business development"", 0.769231), (""small business development"", 0.769231), (""budget development"", 0.75), (""engine development"", 0.75), (""housing development"", 0.75), (""ideas development"", 0.75), (""music development"", 0.75), (""online development"", 0.75), (""process development"", 0.75), (""series development"", 0.75), (""site development"", 0.75), (""systems development"", 0.75), (""global business development"", 0.740741), (""business concept development"", 0.714286), (""business process development"", 0.714286), (""digital business development"", 0.714286), (""organic business development"", 0.714286), (""suppliers development"", 0.714286)]","Tuple{String,Float32}[(""business development"", 1.0)]"
electrical engineering,"Tuple{String,Float32}[(""electrical engineering"", 1.0), (""electronic engineering"", 0.818182), (""technical engineering"", 0.818182), (""electrochemical engineering"", 0.814815), (""geotechnical engineering"", 0.791667), (""chemical engineering"", 0.772727), (""clinical engineering"", 0.772727), (""mechanical engineering"", 0.772727), (""optical engineering"", 0.772727), (""biochemical engineering"", 0.73913), (""biological engineering"", 0.727273), (""biomedical engineering"", 0.727273), (""detail engineering"", 0.727273), (""electrical estimating"", 0.727273), (""electrical wiring"", 0.727273), (""genetic engineering"", 0.727273), (""industrial engineering"", 0.727273), (""plastics engineering"", 0.727273), (""security engineering"", 0.727273), (""social engineering"", 0.727273), (""thermal engineering"", 0.727273)]","Tuple{String,Float32}[]"
java enterprise architecture,"Tuple{String,Float32}[(""java enterprise architecture"", 1.0), (""enterprise architecture"", 0.821429), (""federal enterprise architecture"", 0.806452), (""sparx enterprise architect"", 0.75), (""data center architecture"", 0.714286), (""data centre architecture"", 0.714286), (""enterprise architect"", 0.714286), (""enterprise architects"", 0.714286)]","Tuple{String,Float32}[]"
mvc,"Tuple{String,Float32}[(""mvc"", 1.0), (""cmvc"", 0.75)]","Tuple{String,Float32}[]"
pre-sales,"Tuple{String,Float32}[(""pre-sales"", 1.0), (""re-sales"", 0.888889), (""re-sale"", 0.777778), (""resales"", 0.777778)]","Tuple{String,Float32}[]"
service design,"Tuple{String,Float32}[(""service design"", 1.0), (""device design"", 0.857143), (""service re-design"", 0.823529), (""service desk"", 0.785714), (""surface design"", 0.785714), (""exercise design"", 0.733333), (""seismic design"", 0.714286), (""service test"", 0.714286), (""space design"", 0.714286), (""spring design"", 0.714286), (""survey design"", 0.714286), (""textile design"", 0.714286)]","Tuple{String,Float32}[]"
stata,"Tuple{String,Float32}[(""stata"", 1.0), (""strata"", 0.833333), (""stat"", 0.8)]","Tuple{String,Float32}[]"
sas,"Tuple{String,Float32}[(""sas"", 1.0), (""isas"", 0.75), (""psas"", 0.75), (""saas"", 0.75), (""sacs"", 0.75), (""sams"", 0.75), (""sasi"", 0.75), (""sasl"", 0.75), (""sasn"", 0.75), (""sass"", 0.75), (""saws"", 0.75), (""saxs"", 0.75), (""spas"", 0.75), (""ssas"", 0.75)]","Tuple{String,Float32}[(""sas"", 1.0), (""sass"", 0.75)]"
spss,"Tuple{String,Float32}[(""spss"", 1.0), (""apss"", 0.75), (""epss"", 0.75), (""sass"", 0.75), (""spas"", 0.75), (""spds"", 0.75), (""sps"", 0.75)]","Tuple{String,Float32}[(""spss"", 1.0), (""sass"", 0.75)]"
direct sales,"Tuple{String,Float32}[(""direct sales"", 1.0), (""direct hires"", 0.75), (""ict sales"", 0.75), (""distress sales"", 0.714286)]","Tuple{String,Float32}[]"
air compressors,"Tuple{String,Float32}[(""air compressors"", 1.0)]","Tuple{String,Float32}[]"
pumps,"Tuple{String,Float32}[(""pumps"", 1.0), (""mumps"", 0.8)]","Tuple{String,Float32}[]"
saltstack,"Tuple{String,Float32}[(""saltstack"", 1.0)]","Tuple{String,Float32}[]"
bash,"Tuple{String,Float32}[(""bash"", 1.0), (""basho"", 0.8), (""ash"", 0.75), (""bas"", 0.75), (""base"", 0.75), (""bass"", 0.75), (""bsh"", 0.75), (""cash"", 0.75), (""dash"", 0.75), (""wash"", 0.75)]","Tuple{String,Float32}[(""bash"", 1.0)]"
access,"Tuple{String,Float32}[(""access"", 1.0), (""acess"", 0.833333), (""axcess"", 0.833333), (""dbaccess"", 0.75), (""accents"", 0.714286), (""success"", 0.714286)]","Tuple{String,Float32}[]"
objective-c,"Tuple{String,Float32}[(""objective-c"", 1.0), (""objectivity"", 0.727273)]","Tuple{String,Float32}[]"
json,"Tuple{String,Float32}[(""json"", 1.0), (""jsonp"", 0.8), (""ason"", 0.75)]","Tuple{String,Float32}[]"
subversion,"Tuple{String,Float32}[(""subversion"", 1.0), (""sub-version"", 0.909091)]","Tuple{String,Float32}[]"
real estate,"Tuple{String,Float32}[(""real estate"", 1.0)]","Tuple{String,Float32}[(""real estate"", 1.0)]"
internet entrepreneur,"Tuple{String,Float32}[(""internet entrepreneur"", 1.0)]","Tuple{String,Float32}[]"
commercial real estate,"Tuple{String,Float32}[(""commercial real estate"", 1.0), (""commercial real estate analysis"", 0.709677)]","Tuple{String,Float32}[]"
selectica clm,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
php4/5,"Tuple{String,Float32}[(""php4/5"", 1.0)]","Tuple{String,Float32}[]"
medical devices,"Tuple{String,Float32}[(""medical devices"", 1.0), (""biomedical devices"", 0.833333), (""medical review"", 0.8), (""optical devices"", 0.8), (""medical device r&d"", 0.777778), (""media services"", 0.733333), (""medical ethics"", 0.733333), (""medical office"", 0.733333)]","Tuple{String,Float32}[]"
data migration,"Tuple{String,Float32}[(""data migration"", 1.0), (""ad migration"", 0.785714), (""data curation"", 0.785714), (""site migration"", 0.785714), (""data aggregation"", 0.75), (""data integration"", 0.75), (""data extraction"", 0.733333), (""data operations"", 0.733333), (""email migration"", 0.733333), (""cell migration"", 0.714286), (""dna ligation"", 0.714286), (""os migration"", 0.714286), (""data manipulation"", 0.705882), (""domain migrations"", 0.705882)]","Tuple{String,Float32}[]"
alias automotive,"Tuple{String,Float32}[(""alias automotive"", 1.0), (""retail automotive"", 0.705882)]","Tuple{String,Float32}[]"
adobe photoshop,"Tuple{String,Float32}[(""adobe photoshop"", 1.0)]","Tuple{String,Float32}[]"
keyshot,"Tuple{String,Float32}[(""keyshot"", 1.0), (""keyshot 2"", 0.777778), (""kenshoo"", 0.714286)]","Tuple{String,Float32}[]"
concept modelling,"Tuple{String,Float32}[(""concept modeling"", 0.941176), (""conceptual modelling"", 0.85), (""content modeling"", 0.823529), (""conceptual modeling"", 0.789474), (""object modelling"", 0.764706), (""choice modeling"", 0.705882), (""concept mapping"", 0.705882)]","Tuple{String,Float32}[]"
physics,"Tuple{String,Float32}[(""physics"", 1.0), (""physicals"", 0.777778), (""hysis"", 0.714286), (""phonics"", 0.714286)]","Tuple{String,Float32}[(""physical"", 0.75)]"
fortran,"Tuple{String,Float32}[(""fortran"", 1.0)]","Tuple{String,Float32}[]"
interpersonal skills,"Tuple{String,Float32}[(""interpersonal skills"", 1.0), (""intrapersonal skills"", 0.9), (""interpersonal savvy"", 0.75), (""personal skills"", 0.75)]","Tuple{String,Float32}[]"
communication skills ,"Tuple{String,Float32}[(""communication skills"", 0.952381), (""communication skils"", 0.904762), (""communicative skills"", 0.857143), (""communication tools"", 0.761905), (""communication analysis"", 0.727273), (""co-ordination skills"", 0.714286), (""communication audits"", 0.714286), (""communication ethics"", 0.714286), (""communication issues"", 0.714286), (""communication systems"", 0.714286), (""communication written"", 0.714286), (""communications law"", 0.714286), (""consultation skills"", 0.714286), (""coordination skills"", 0.714286), (""organization skills"", 0.714286), (""great communications skills"", 0.703704)]","Tuple{String,Float32}[]"
professional writing,"Tuple{String,Float32}[(""professional writing"", 1.0), (""professional driving"", 0.9), (""professional lighting"", 0.809524), (""promotional writing"", 0.8), (""professional organizing"", 0.782609), (""professional mentoring"", 0.772727), (""professional cleaning"", 0.761905), (""professional staffing"", 0.761905), (""professional women"", 0.75)]","Tuple{String,Float32}[]"
digital marketing  ,"Tuple{String,Float32}[(""digital marketing"", 0.894737), (""dental marketing"", 0.736842)]","Tuple{String,Float32}[]"
growth strategies,"Tuple{String,Float32}[(""growth strategies"", 1.0), (""green strategies"", 0.764706), (""roi strategies"", 0.764706), (""product strategies"", 0.722222), (""data strategies"", 0.705882), (""exit strategies"", 0.705882), (""launch strategies"", 0.705882), (""people strategies"", 0.705882)]","Tuple{String,Float32}[]"
organization skills,"Tuple{String,Float32}[(""organization skills"", 1.0), (""organisational skills"", 0.857143), (""communication skills"", 0.75), (""high organizational skills"", 0.730769)]","Tuple{String,Float32}[(""organisational skills"", 0.857143)]"
team mentoring,"Tuple{String,Float32}[(""team mentoring"", 1.0), (""peer mentoring"", 0.785714), (""teacher mentoring"", 0.764706), (""staff mentoring"", 0.733333)]","Tuple{String,Float32}[]"
attention to detail,"Tuple{String,Float32}[(""attention to detail"", 1.0), (""attention to details"", 0.95), (""attention-to-detail"", 0.894737), (""attentive to detail"", 0.894737), (""attentiveness to detail"", 0.782609), (""close attention to detail"", 0.76), (""strong attention to detail"", 0.730769)]","Tuple{String,Float32}[]"
logo design,"Tuple{String,Float32}[(""logo design"", 1.0), (""logo designs"", 0.916667), (""logic design"", 0.833333), (""color design"", 0.75), (""book design"", 0.727273), (""code design"", 0.727273), (""core design"", 0.727273), (""form design"", 0.727273), (""io design"", 0.727273), (""ios design"", 0.727273), (""job design"", 0.727273), (""lab design"", 0.727273), (""life design"", 0.727273), (""pmo design"", 0.727273), (""pop design"", 0.727273), (""pos design"", 0.727273), (""sign design"", 0.727273), (""soe design"", 0.727273), (""tool design"", 0.727273), (""toy design"", 0.727273)]","Tuple{String,Float32}[]"
concept development,"Tuple{String,Float32}[(""concept development"", 1.0), (""content development"", 0.894737), (""contact development"", 0.842105), (""new concept development"", 0.826087), (""contract development"", 0.8), (""c#.net development"", 0.789474), (""client development"", 0.789474), (""copy development"", 0.789474), (""core development"", 0.789474), (""force development"", 0.789474), (""component development"", 0.761905), (""controls development"", 0.75), (""economic development"", 0.75), (""web content development"", 0.73913), (""agent development"", 0.736842), (""asset development"", 0.736842), (""budget development"", 0.736842), (""career development"", 0.736842), (""cmc development"", 0.736842), (""color development"", 0.736842), (""company development"", 0.736842), (""course development"", 0.736842), (""donor development"", 0.736842), (""joint development"", 0.736842), (""local development"", 0.736842), (""market development"", 0.736842), (""model development"", 0.736842), (""new development"", 0.736842), (""offer development"", 0.736842), (""online development"", 0.736842), (""patent development"", 0.736842), (""pop development"", 0.736842), (""port development"", 0.736842), (""portlet development"", 0.736842), (""power development"", 0.736842), (""process development"", 0.736842), (""range development"", 0.736842), (""recipe development"", 0.736842), (""rep development"", 0.736842), (""route development"", 0.736842), (""social development"", 0.736842), (""sop development"", 0.736842), (""source development"", 0.736842), (""student development"", 0.736842), (""talent development"", 0.736842), (""target development"", 0.736842), (""tender development"", 0.736842), (""test development"", 0.736842), (""venue development"", 0.736842), (""collection development"", 0.727273), (""conference development"", 0.727273), (""manuscript development"", 0.727273), (""clientele development"", 0.714286), (""cognitive development"", 0.714286), (""colleague development"", 0.714286), (""community development"", 0.714286), (""corporate development"", 0.714286), (""front-end development"", 0.714286), (""volunteer development"", 0.714286)]","Tuple{String,Float32}[]"
