skillName,simSymba,bestSimSymba
mongodb,"Tuple{String,Float32}[(""mongodb"", 1.0)]",1
eclipse,"Tuple{String,Float32}[(""eclipse"", 1.0)]",1
testing,"Tuple{String,Float32}[(""testing"", 1.0), (""testing"", 1.0), (""testing"", 1.0), (""testing"", 1.0), (""hosting"", 0.714286)]",1
postgresql,"Tuple{String,Float32}[(""postgresql"", 1.0)]",1
communication,"Tuple{String,Float32}[(""communications"", 0.928571)]",0.928571
styling,"Tuple{String,Float32}[(""styling"", 1.0)]",1
forecasting,"Tuple{String,Float32}[(""forecasting"", 1.0)]",1
kanban,"Tuple{String,Float32}[(""kanban"", 1.0), (""kanban"", 1.0)]",1
unity,"Tuple{String,Float32}[(""unity"", 1.0)]",1
maya,"Tuple{String,Float32}[(""maya"", 1.0)]",1
perforce,"Tuple{String,Float32}[(""perforce"", 1.0), (""enforce"", 0.75), (""performance"", 0.727273)]",1
ubuntu,"Tuple{String,Float32}[(""ubuntu"", 1.0)]",1
cassandra,"Tuple{String,Float32}[(""cassandra"", 1.0)]",1
wordpress,"Tuple{String,Float32}[(""wordpress"", 1.0)]",1
construction,"Tuple{String,Float32}[(""construction"", 1.0)]",1
wireless,"Tuple{String,Float32}[(""wireless"", 1.0)]",1
redux,"Tuple{String,Float32}[(""redux"", 1.0)]",1
git,"Tuple{String,Float32}[(""git"", 1.0)]",1
scala,"Tuple{String,Float32}[(""scala"", 1.0)]",1
illustrator,"Tuple{String,Float32}[(""illustrator"", 1.0)]",1
informatics,"Tuple{String,Float32}[(""informatica"", 0.909091)]",0.909091
swift,"Tuple{String,Float32}[(""swift"", 1.0)]",1
r,"Tuple{String,Float32}[(""r"", 1.0)]",1
