"_id",parentID,text
58fbe4050de1ee000f1c6dc8,58fbe3f20de1ee000f1c6dc5,React
58fbe4070de1ee000f1c6dc9,58fbe3f20de1ee000f1c6dc5,Vue
58fbe40f0de1ee000f1c6dca,58fbe3ed0de1ee000f1c6dc4,JQuery
58fbe4130de1ee000f1c6dcb,58fbe3ed0de1ee000f1c6dc4,D3.js
58fbe41b0de1ee000f1c6dcc,58fbe3ea0de1ee000f1c6dc3,Semantic-UI
58fbe41f0de1ee000f1c6dcd,58fbe3ea0de1ee000f1c6dc3,Twitter Bootstrap
58fbe4230de1ee000f1c6dce,58fbe3ea0de1ee000f1c6dc3,MaterializeCSS
58fbe4260de1ee000f1c6dcf,58fbe3ea0de1ee000f1c6dc3,Angular Material
58fbe42f0de1ee000f1c6dd0,58fbe3ae0de1ee000f1c6dbc,NodeJS
58fbe43b0de1ee000f1c6dd1,58fbe3ae0de1ee000f1c6dbc,Python Frameworks
58fbe4480de1ee000f1c6dd2,58fbe43b0de1ee000f1c6dd1,Django
58fbe44c0de1ee000f1c6dd3,58fbe43b0de1ee000f1c6dd1,Flask
58fbe4580de1ee000f1c6dd4,58fbe3ae0de1ee000f1c6dbc,Ruby on Rails
58fbe4650de1ee000f1c6dd6,58fbe42f0de1ee000f1c6dd0,HapiJS
58fbe4690de1ee000f1c6dd7,58fbe42f0de1ee000f1c6dd0,ExpressJS
58fbe46f0de1ee000f1c6dd8,58fbe42f0de1ee000f1c6dd0,KoaJS
58fbe4780de1ee000f1c6dd9,58fbe3b20de1ee000f1c6dbd,SQL
58fbe47b0de1ee000f1c6dda,58fbe3b20de1ee000f1c6dbd,NoSQL
58fbe4820de1ee000f1c6ddb,58fbe4780de1ee000f1c6dd9,PostgreSQL
58fbe4870de1ee000f1c6ddc,58fbe4780de1ee000f1c6dd9,Oracle
58fbe48b0de1ee000f1c6ddd,58fbe4780de1ee000f1c6dd9,MySQL
58fbe48e0de1ee000f1c6dde,58fbe4780de1ee000f1c6dd9,SQL Server
58fbe4920de1ee000f1c6ddf,58fbe4780de1ee000f1c6dd9,IBM DB2
58fbe4990de1ee000f1c6de0,58fbe47b0de1ee000f1c6dda,MongoDB
58fbe49e0de1ee000f1c6de1,58fbe47b0de1ee000f1c6dda,Cassandra
58fbe4a10de1ee000f1c6de2,58fbe47b0de1ee000f1c6dda,Couchbase
58fbe4a40de1ee000f1c6de3,58fbe47b0de1ee000f1c6dda,Redis
58fbe4ac0de1ee000f1c6de4,58fbe3b60de1ee000f1c6dbe,Javascript
