skillName,simLinked,simSymba
web development,"Tuple{String,Float32}[(""web development"", 1.0), (""new development"", 0.8666667), (""rep development"", 0.8666667), (""wpf development"", 0.8666667), (""power development"", 0.8235294), (""club development"", 0.8125), (""deal development"", 0.8125), (""lead development"", 0.8125), (""menu development"", 0.8125), (""new developments"", 0.8125), (""peer development"", 0.8125), (""spec development"", 0.8125), (""team development"", 0.8125), (""test development"", 0.8125), (""wash development"", 0.8125), (""wiki development"", 0.8125), (""ad development"", 0.8), (""api development"", 0.8), (""bom development"", 0.8), (""cmc development"", 0.8), (""gui development"", 0.8), (""hw development"", 0.8), (""ios development"", 0.8), (""ip development"", 0.8), (""it development"", 0.8), (""jsp development"", 0.8), (""kol development"", 0.8), (""p&l development"", 0.8), (""pdk development"", 0.8), (""php development"", 0.8), (""pmo development"", 0.8), (""pop development"", 0.8), (""redevelopment"", 0.8), (""rfq development"", 0.8), (""roi development"", 0.8), (""rtl development"", 0.8), (""sap development"", 0.8), (""sar development"", 0.8), (""sdk development"", 0.8), (""sme development"", 0.8), (""sop development"", 0.8), (""web developers"", 0.8), (""web 2.0 development"", 0.7894737), (""webinar development"", 0.7894737), (""website development"", 0.7894737), (""member development"", 0.7777778), (""agent development"", 0.7647059), (""asset development"", 0.7647059), (""field development"", 0.7647059), (""green development"", 0.7647059), (""ideas development"", 0.7647059), (""media development"", 0.7647059), (""model development"", 0.7647059), (""offer development"", 0.7647059), (""theme development"", 0.7647059), (""venue development"", 0.7647059), (""video development"", 0.7647059), (""blog development"", 0.75), (""copy development"", 0.75), (""core development"", 0.75), (""drug development"", 0.75), (""flow development"", 0.75), (""form development"", 0.75), (""fund development"", 0.75), (""game development"", 0.75), (""goal development"", 0.75), (""ipad development"", 0.75), (""j2me development"", 0.75), (""land development"", 0.75), (""link development"", 0.75), (""list development"", 0.75), (""logo development"", 0.75), (""look development"", 0.75), (""name development"", 0.75), (""neurodevelopment"", 0.75), (""p&id development"", 0.75), (""part development"", 0.75), (""port development"", 0.75), (""self-development"", 0.75), (""site development"", 0.75), (""tour development"", 0.75), (""trim development"", 0.75), (""women's development"", 0.7368421), (""co-development"", 0.73333335), (""pre-development"", 0.73333335), (""agency development"", 0.7222222), (""agenda development"", 0.7222222), (""budget development"", 0.7222222), (""c#.net development"", 0.7222222), (""career development"", 0.7222222), (""client development"", 0.7222222), (""device development"", 0.7222222), (""fabric development"", 0.7222222), (""global development"", 0.7222222), (""growth development"", 0.7222222), (""market development"", 0.7222222), (""method development"", 0.7222222), (""metric development"", 0.7222222), (""patent development"", 0.7222222), (""people development"", 0.7222222), (""player development"", 0.7222222), (""recipe development"", 0.7222222), (""remote development"", 0.7222222), (""report development"", 0.7222222), (""resort development"", 0.7222222), (""series development"", 0.7222222), (""system development"", 0.7222222), (""talent development"", 0.7222222), (""target development"", 0.7222222), (""tender development"", 0.7222222), (""agile web development"", 0.71428573), (""adult development"", 0.7058824), (""assay development"", 0.7058824), (""board development"", 0.7058824), (""brand development"", 0.7058824), (""child development"", 0.7058824), (""cloud development"", 0.7058824), (""color development"", 0.7058824), (""donor development"", 0.7058824), (""early development"", 0.7058824), (""force development"", 0.7058824), (""forms development"", 0.7058824), (""group development"", 0.7058824), (""human development"", 0.7058824), (""image development"", 0.7058824), (""joint development"", 0.7058824), (""kiosk development"", 0.7058824), (""linux development"", 0.7058824), (""local development"", 0.7058824), (""music development"", 0.7058824), (""pitch development"", 0.7058824), (""print development"", 0.7058824), (""quant development"", 0.7058824), (""range development"", 0.7058824), (""route development"", 0.7058824), (""rural development"", 0.7058824), (""staff development"", 0.7058824), (""style development"", 0.7058824), (""trade development"", 0.7058824), (""youth development"", 0.7058824)]","Tuple{String,Float32}[(""web development"", 1.0), (""new development"", 0.8666667), (""rep development"", 0.8666667), (""wpf development"", 0.8666667), (""power development"", 0.8235294), (""club development"", 0.8125), (""deal development"", 0.8125), (""lead development"", 0.8125), (""menu development"", 0.8125), (""new developments"", 0.8125), (""peer development"", 0.8125), (""spec development"", 0.8125), (""team development"", 0.8125), (""test development"", 0.8125), (""wash development"", 0.8125), (""wiki development"", 0.8125), (""ad development"", 0.8), (""api development"", 0.8), (""bom development"", 0.8), (""cmc development"", 0.8), (""gui development"", 0.8), (""hw development"", 0.8), (""ios development"", 0.8), (""ip development"", 0.8), (""it development"", 0.8), (""jsp development"", 0.8), (""kol development"", 0.8), (""p&l development"", 0.8), (""pdk development"", 0.8), (""php development"", 0.8), (""pmo development"", 0.8), (""pop development"", 0.8), (""redevelopment"", 0.8), (""rfq development"", 0.8), (""roi development"", 0.8), (""rtl development"", 0.8), (""sap development"", 0.8), (""sar development"", 0.8), (""sdk development"", 0.8), (""sme development"", 0.8), (""sop development"", 0.8), (""web developers"", 0.8), (""web 2.0 development"", 0.7894737), (""webinar development"", 0.7894737), (""website development"", 0.7894737), (""member development"", 0.7777778), (""agent development"", 0.7647059), (""asset development"", 0.7647059), (""field development"", 0.7647059), (""green development"", 0.7647059), (""ideas development"", 0.7647059), (""media development"", 0.7647059), (""model development"", 0.7647059), (""offer development"", 0.7647059), (""theme development"", 0.7647059), (""venue development"", 0.7647059), (""video development"", 0.7647059), (""blog development"", 0.75), (""copy development"", 0.75), (""core development"", 0.75), (""drug development"", 0.75), (""flow development"", 0.75), (""form development"", 0.75), (""fund development"", 0.75), (""game development"", 0.75), (""goal development"", 0.75), (""ipad development"", 0.75), (""j2me development"", 0.75), (""land development"", 0.75), (""link development"", 0.75), (""list development"", 0.75), (""logo development"", 0.75), (""look development"", 0.75), (""name development"", 0.75), (""neurodevelopment"", 0.75), (""p&id development"", 0.75), (""part development"", 0.75), (""port development"", 0.75), (""self-development"", 0.75), (""site development"", 0.75), (""tour development"", 0.75), (""trim development"", 0.75), (""women's development"", 0.7368421), (""co-development"", 0.73333335), (""pre-development"", 0.73333335), (""agency development"", 0.7222222), (""agenda development"", 0.7222222), (""budget development"", 0.7222222), (""c#.net development"", 0.7222222), (""career development"", 0.7222222), (""client development"", 0.7222222), (""device development"", 0.7222222), (""fabric development"", 0.7222222), (""global development"", 0.7222222), (""growth development"", 0.7222222), (""market development"", 0.7222222), (""method development"", 0.7222222), (""metric development"", 0.7222222), (""patent development"", 0.7222222), (""people development"", 0.7222222), (""player development"", 0.7222222), (""recipe development"", 0.7222222), (""remote development"", 0.7222222), (""report development"", 0.7222222), (""resort development"", 0.7222222), (""series development"", 0.7222222), (""system development"", 0.7222222), (""talent development"", 0.7222222), (""target development"", 0.7222222), (""tender development"", 0.7222222), (""agile web development"", 0.71428573), (""adult development"", 0.7058824), (""assay development"", 0.7058824), (""board development"", 0.7058824), (""brand development"", 0.7058824), (""child development"", 0.7058824), (""cloud development"", 0.7058824), (""color development"", 0.7058824), (""donor development"", 0.7058824), (""early development"", 0.7058824), (""force development"", 0.7058824), (""forms development"", 0.7058824), (""group development"", 0.7058824), (""human development"", 0.7058824), (""image development"", 0.7058824), (""joint development"", 0.7058824), (""kiosk development"", 0.7058824), (""linux development"", 0.7058824), (""local development"", 0.7058824), (""music development"", 0.7058824), (""pitch development"", 0.7058824), (""print development"", 0.7058824), (""quant development"", 0.7058824), (""range development"", 0.7058824), (""route development"", 0.7058824), (""rural development"", 0.7058824), (""staff development"", 0.7058824), (""style development"", 0.7058824), (""trade development"", 0.7058824), (""youth development"", 0.7058824)]"
html5,"Tuple{String,Float32}[(""html5"", 1.0), (""html"", 0.8), (""htmlb"", 0.8)]","Tuple{String,Float32}[(""html5"", 1.0), (""html"", 0.8), (""htmlb"", 0.8)]"
core java,"Tuple{String,Float32}[(""core java"", 1.0), (""core-java"", 0.8888889), (""corejava"", 0.8888889), (""core data"", 0.7777778)]","Tuple{String,Float32}[(""core java"", 1.0), (""core-java"", 0.8888889), (""corejava"", 0.8888889), (""core data"", 0.7777778)]"
design patterns,"Tuple{String,Float32}[(""design patterns"", 1.0), (""design patents"", 0.8)]","Tuple{String,Float32}[(""design patterns"", 1.0), (""design patents"", 0.8)]"
jsp,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
servlets,"Tuple{String,Float32}[(""servlets"", 1.0), (""servers"", 0.75)]","Tuple{String,Float32}[(""servlets"", 1.0), (""servers"", 0.75)]"
hibernate,"Tuple{String,Float32}[(""hibernate"", 1.0), (""nhibernate"", 0.9), (""liberate"", 0.7777778)]","Tuple{String,Float32}[(""hibernate"", 1.0), (""nhibernate"", 0.9), (""liberate"", 0.7777778)]"
it strategy,"Tuple{String,Float32}[(""it strategy"", 1.0), (""bid strategy"", 0.8333333), (""hr strategy"", 0.8181818), (""test strategy"", 0.7692308), (""l&d strategy"", 0.75), (""web strategy"", 0.75), (""e-strategy"", 0.72727275), (""strategy"", 0.72727275), (""email strategy"", 0.71428573), (""media strategy"", 0.71428573)]","Tuple{String,Float32}[(""it strategy"", 1.0), (""bid strategy"", 0.8333333), (""hr strategy"", 0.8181818), (""test strategy"", 0.7692308), (""l&d strategy"", 0.75), (""web strategy"", 0.75), (""e-strategy"", 0.72727275), (""strategy"", 0.72727275), (""email strategy"", 0.71428573), (""media strategy"", 0.71428573)]"
struts,"Tuple{String,Float32}[(""struts"", 1.0), (""structs"", 0.85714287), (""struts2"", 0.85714287), (""strut"", 0.8333333), (""stuts"", 0.8333333), (""stratus"", 0.71428573), (""streets"", 0.71428573)]","Tuple{String,Float32}[(""struts"", 1.0), (""structs"", 0.85714287), (""struts2"", 0.85714287), (""strut"", 0.8333333), (""stuts"", 0.8333333), (""stratus"", 0.71428573), (""streets"", 0.71428573)]"
java enterprise edition,"Tuple{String,Float32}[(""java enterprise edition"", 1.0)]","Tuple{String,Float32}[(""java enterprise edition"", 1.0)]"
e-commerce,"Tuple{String,Float32}[(""e-commerce"", 1.0), (""e commerce"", 0.9), (""ecommerce"", 0.9), (""commerce"", 0.8), (""oscommerce"", 0.8), (""web commerce"", 0.75), (""nopcommerce"", 0.72727275), (""woocommerce"", 0.72727275), (""atg e-commerce"", 0.71428573), (""b2c e-commerce"", 0.71428573), (""e-commerce seo"", 0.71428573)]","Tuple{String,Float32}[(""e-commerce"", 1.0), (""e commerce"", 0.9), (""ecommerce"", 0.9), (""commerce"", 0.8), (""oscommerce"", 0.8), (""web commerce"", 0.75), (""nopcommerce"", 0.72727275), (""woocommerce"", 0.72727275), (""atg e-commerce"", 0.71428573), (""b2c e-commerce"", 0.71428573), (""e-commerce seo"", 0.71428573)]"
google analytics,"Tuple{String,Float32}[(""google analytics"", 1.0), (""mobile analytics"", 0.8125), (""adobe analytics"", 0.75), (""mortgage analytics"", 0.7222222), (""loyalty analytics"", 0.7058824)]","Tuple{String,Float32}[(""google analytics"", 1.0), (""mobile analytics"", 0.8125), (""adobe analytics"", 0.75), (""mortgage analytics"", 0.7222222), (""loyalty analytics"", 0.7058824)]"
online advertising,"Tuple{String,Float32}[(""online advertising"", 1.0), (""false advertising"", 0.7777778), (""mobile advertising"", 0.7777778), (""native advertising"", 0.7777778), (""print advertising"", 0.7777778), (""consumer advertising"", 0.75), (""magazine advertising"", 0.75), (""in-game advertising"", 0.7368421), (""brand advertising"", 0.7222222), (""image advertising"", 0.7222222), (""media advertising"", 0.7222222), (""radio advertising"", 0.7222222), (""social advertising"", 0.7222222), (""trade advertising"", 0.7222222), (""video advertising"", 0.7222222)]","Tuple{String,Float32}[(""online advertising"", 1.0), (""false advertising"", 0.7777778), (""mobile advertising"", 0.7777778), (""native advertising"", 0.7777778), (""print advertising"", 0.7777778), (""consumer advertising"", 0.75), (""magazine advertising"", 0.75), (""in-game advertising"", 0.7368421), (""brand advertising"", 0.7222222), (""image advertising"", 0.7222222), (""media advertising"", 0.7222222), (""radio advertising"", 0.7222222), (""social advertising"", 0.7222222), (""trade advertising"", 0.7222222), (""video advertising"", 0.7222222)]"
